NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210057943671;2022;14;M;2;2;1;1;2;1;;0;;;;;;;;5300108;Brasília;53;DF;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;A;A;A;B;3;B;B;B;B;B;B;B;A;B;B;B;A;A;A;A;A;A;A;A;A
210057516120;2022;14;M;2;1;1;1;16;1;;0;;;;;;;;5300108;Brasília;53;DF;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;D;E;E;3;Q;D;E;E;E;E;E;E;E;E;E;E;B;E;B;B;E;B;E;B
210057280536;2022;5;F;1;2;1;1;2;1;;0;;;;;;;;2925758;Presidente Tancredo Neves;29;BA;1;1;1;1;1087;1056;1066;1078;421.1;546;498.8;565.3;DCDCEBADDABEDBCBEAEACCDDECEEBECBECAAECDDDDBCE;DBDABCADADECACBDCCEDACCCECDDABDCEADABCBCBAEAB;ABEABADCCADCAAAACDADDCECBAAACADABDEBCBCAAACEB;BDEBACECBCAEBABEDBABDACBCABCDEDEADBAABCBEACCD;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;140;200;120;140;160;760;E;F;A;D;2;B;A;B;C;A;A;B;B;A;A;A;A;A;A;A;A;C;A;A;B
210055724397;2022;6;M;1;3;1;1;2;1;;0;;;;;;;;3201308;Cariacica;32;ES;1;1;1;1;1088;1058;1067;1077;490.7;388.6;357.8;416;BACBBABBCAABCABBCBACBCBCBACABACABCBDBCBABAACA;BBCAACACDCABCBACCABABCBACBCABBBBBABCBACCBCBBA;ABACCCCBCBAADABBBACABBAABACCBCBBCDCACABABCAAC;BBBACCBABABBBBACDABBBBABCCBBCABBBBAACABBACBCB;1;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;120;40;40;100;20;320;C;A;A;B;3;A;A;C;D;A;A;B;A;B;A;B;A;A;C;A;A;C;B;B;B
210055097896;2022;4;M;0;3;1;1;1;1;;0;;;;;;;;1506203;Salinópolis;15;PA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;B;A;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
210057850231;2022;5;F;1;3;1;1;2;1;;0;;;;;;;;3304557;Rio de Janeiro;33;RJ;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;C;B;B;4;C;A;C;C;A;A;B;B;B;A;B;A;A;C;A;B;D;A;A;B
210056305481;2022;4;M;1;2;1;1;2;1;;0;;;;;;;;2611606;Recife;26;PE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;B;B;3;B;A;B;D;A;A;B;A;A;A;A;A;A;C;A;A;C;A;A;B
210055778089;2022;6;F;1;2;1;1;0;1;;0;;;;;;;;3304904;São Gonçalo;33;RJ;1;1;1;1;1086;1055;1065;1076;398.1;427.3;400.2;404.9;CBCCDBCACACABBDAEACBCBBCBCBABBBBDDCBCCCACACDB;BABACCABCBADEABDDBABDEBABDABABCEDCBBDADECACAC;DACECBAEAABBEAACDCCBAEBEBABCCDCBEEDAABDCADBEB;DBCCABCCBCEEBCECBEBEACAABACBBBCBCBBCAEBACEBBC;1;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;100;120;80;100;40;440;E;E;B;B;5;B;A;B;C;B;A;C;B;A;A;B;A;A;C;A;A;E;A;A;B
210057252239;2022;8;F;1;3;1;1;0;1;;0;;;;;;;;2901007;Amargosa;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;A;D;A;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210055461467;2022;4;F;1;3;1;1;1;1;;0;;;;;;;;2601201;Arcoverde;26;PE;1;1;1;1;1087;1056;1066;1078;467.5;461;466.7;435.3;ACEAACADAEBADDCCACACBBCDEDEDABDBDAACBCBBDCACB;EAAABEADCDDCEAACDCAECACDCBAECAECEDCABCEDDDBAE;ECEABCBECEDACADABDCBDEEBBABEBCDAABBBDABCDACBE;BEBCCCABABCCDCCCBECEBEDEACBEDCBBDCDCDBADACBAA;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;80;80;80;80;40;360;E;E;B;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
